title,year,length,budget,rating,Genre
'Til There Was You,1997,113,23000000,4.8,Romance
.com for Murder,2002,96,5000000,3.7,Unknown
10 Things I Hate About You,1999,97,16000000,6.7,Romance
100 Mile Rule,2002,98,1100000,5.6,Comedy
100 Proof,1997,94,140000,3.3,Drama
101-vy kilometer,2001,103,200000,5.8,Drama
102 Dalmatians,2000,100,85000000,4.7,Comedy
11:14,2003,95,6000000,7.1,Drama
13 Going On 30,2004,98,37000000,6.4,Romance
"13th Warrior, The",1999,102,85000000,6.1,Action
1492: Conquest of Paradise,1992,154,47000000,6,Drama
15 Minutes,2001,120,42000000,6.1,Drama
2 Fast 2 Furious,2003,107,76000000,5.1,Action
20 Dates,1998,87,60000,5.4,Romance
200 Cigarettes,1999,101,6000000,5.4,Drama
2001: A Space Travesty,2000,99,26000000,2.5,Comedy
2046,2004,129,12000000,7.6,Romance
21 Grams,2003,124,20000000,8,Drama
"24 Hour Woman, The",1999,93,2500000,5.6,Comedy
25 Watts,2001,92,200000,7,Drama
25th Hour,2002,135,15000000,7.8,Drama
28 Days,2000,103,43000000,6,Drama
28 Days Later...,2002,113,8000000,7.3,Unknown
3 AM,2003,22,32000,4.8,Short
3 Strikes,2000,82,6000000,3.7,Comedy
3000 Miles to Graceland,2001,125,62000000,5.4,Comedy
40 Days and 40 Nights,2002,96,17000000,5.4,Romance
5 Dark Souls,1996,94,1500,7.3,Action
5 Dead on the Crimson Canvas,1996,96,25000,2,Unknown
50 First Dates,2004,99,75000000,6.8,Romance
"51st State, The",2001,92,28000000,6.1,Comedy
54,1998,100,13000000,5.4,Drama
"6th Day, The",2000,123,82000000,5.9,Action
72 metra,2004,100,1600000,6,Drama
8 Mile,2002,110,41000000,6.8,Drama
80's Ending,2003,9,10000,8.3,Short
8MM,1999,123,40000000,5.9,Unknown
90,2005,14,4000,9.1,Short
9:30,2004,13,12000,7.1,Short
A.N.I. 1240,2003,13,8000,5.9,Short
ABCD,1999,105,200000,5.4,Drama
AVP: Alien Vs. Predator,2004,102,45000000,5.4,Action
Abandon,2002,99,25000000,4.7,Drama
Abby Singer,2003,79,1500,3.5,Unknown
Aberdeen,2000,106,6500000,7.3,Drama
Able Edwards,2004,87,30000,6.2,Drama
"Able's House Is Green, The",2003,13,6800,9.4,Short
About Schmidt,2002,125,30000000,7.3,Drama
About a Boy,2002,101,27000000,7.5,Drama
Absolon,2003,96,8000000,4.1,Action
Absolute Power,1997,121,50000000,6.4,Drama
Absolution,2001,23,13000,1.6,Short
"Accountant, The",1999,50,5000,6.3,Action
Ace Ventura: Pet Detective,1994,86,12000000,6.2,Comedy
Ace Ventura: When Nature Calls,1995,90,30000000,4.9,Comedy
Actors Anonymous: The Truth Behind the Dream,2003,60,30000,3.2,Documentary
Acts of Betrayal,1997,90,3000000,4.6,Action
Adaptation.,2002,114,19000000,7.9,Drama
"Addams Family, The",1991,99,38000000,6.4,Comedy
"Adventures of Elmo in Grouchland, The",1999,89,17000000,5.5,Comedy
"Adventures of Huck Finn, The",1993,108,6500000,5.9,Drama
"Adventures of Pinocchio, The",1996,92,25000000,5.6,Unknown
"Adventures of Pluto Nash, The",2002,95,100000000,3.9,Comedy
"Adventures of Rocky & Bullwinkle, The",2000,88,76000000,4.3,Comedy
Affairs with Bears,2002,27,7000,8.3,Short
Affliction,1997,114,6000000,6.9,Drama
After Image,2001,92,1200000,3.9,Unknown
After Sex,2000,96,5000000,4.5,Romance
After the Sunset,2004,97,58000000,6,Comedy
Afterschool Delight,2003,10,5000,6.3,Short
"Age of Innocence, The",1993,139,34000000,7.1,Romance
Agent Cody Banks,2003,102,26000000,5.5,Comedy
Agent Cody Banks 2: Destination London,2004,100,26000000,3.8,Comedy
Aida degli alberi,2001,75,7000000,4.3,Animation
Aimee Semple McPherson,2004,112,500000,8.4,Drama
Air Bud,1997,98,3000000,4.7,Drama
Air Force One,1997,124,85000000,6.3,Drama
Air Marshal,2003,90,500000,3,Action
Airborne,1993,91,2600000,5.2,Comedy
Akasha,2001,82,1500,7.3,Unknown
Akumulator 1,1994,102,2000000,7.1,Comedy
Aladdin,1992,90,28000000,7.6,Comedy
"Alamo, The",2004,137,95000000,5.9,Drama
"Alan Smithee Film: Burn Hollywood Burn, An",1997,86,10000000,3.2,Comedy
Albino Alligator,1996,97,5000000,6,Drama
Alex's Apartment,1992,80,45000,6.8,Unknown
Alexander,2004,175,150000000,5.5,Drama
Alferd Packer: The Musical,1996,97,125000,7,Romance
Alfie,2004,103,60000000,6,Drama
Ali,2001,165,107000000,6.4,Drama
Alias,2002,98,1500000,5.7,Romance
Alice,1990,102,12000000,6.4,Romance
Alien Abduction,2005,90,600000,1.9,Unknown
Alien Escape,1997,85,1000000,5.6,Unknown
Alien: Resurrection,1997,116,70000000,6,Action
Alive,1993,127,32000000,6.7,Drama
All About the Benjamins,2002,95,14000000,5.4,Comedy
All the Pretty Horses,2000,116,45000000,5.6,Drama
All the Queen's Men,2001,105,25000000,5,Drama
All the Real Girls,2003,108,1000000,6.8,Romance
All the Stage Is a World,2005,89,12000,7,Documentary
All the Vermeers in New York,1990,87,250000,5.9,Romance
Alligator II: The Mutation,1991,92,3000000,2.7,Unknown
Almost Famous,2000,162,60000000,8,Drama
Alone in the Dark,2005,96,20000000,2.1,Action
Along Came Polly,2004,90,42000000,5.8,Romance
Along Came a Spider,2001,104,28000000,6.1,Drama
Along for the Ride,2000,99,150000,7.6,Unknown
Alpha Dead,2004,11,5000,8,Short
Always Late,2004,6,1000,5.8,Short
Ame agaru,1999,91,3800000,7.8,Drama
America's Sweethearts,2001,102,48000000,5.8,Romance
American Beauty,1999,121,15000000,8.5,Drama
"American Bickman Burger, The",2001,18,100000,5.7,Short
American Desi,2001,100,250000,6.8,Romance
American History X,1998,119,10000000,8.4,Drama
American Jedi,2002,8,2000,7.9,Short
American Me,1992,125,16000000,6.6,Drama
American Outlaws,2001,94,35000000,5.5,Comedy
American Pie,1999,95,11000000,6.8,Comedy
American Pie 2,2001,105,30000000,6.3,Comedy
"American President, The",1995,114,62000000,6.9,Romance
American Psycho,2000,102,8000000,6.8,Drama
American Wedding,2003,103,55000000,6.3,Comedy
"American Werewolf in Paris, An",1997,105,22000000,5,Romance
American Yearbook,2004,90,500000,9.3,Unknown
Amistad,1997,152,40000000,7,Drama
"Amityville Horror, The",2005,90,18000000,5.8,Unknown
"Amor y el espanto, El",2001,110,650000,7,Drama
Amores perros,2000,153,2000000,8.2,Drama
Anaconda,1997,89,45000000,4.1,Action
Anacondas: The Hunt for the Blood Orchid,2004,97,25000000,4.2,Unknown
Analyze This,1999,109,30000000,6.6,Comedy
Anastasia,1997,94,53000000,6.5,Animation
Anatomy of a Fight,2003,80,17000,6.5,Drama
Anchorman: The Legend of Ron Burgundy,2004,104,26000000,6.5,Comedy
And I Lived,2005,107,20000,9.4,Drama
And Then Came Summer,2000,115,2300,4.1,Drama
Andy in Love,2004,11,4000,8.2,Short
Angel Eyes,2001,102,38000000,5.6,Romance
Angela's Ashes,1999,145,25000000,6.8,Drama
Anger Management,2003,106,75000000,6,Comedy
Anima,2003,26,50000,7.9,Short
"Animal, The",2001,84,22000000,4.8,Comedy
"Animatrix: Final Flight of the Osiris, The",2003,11,5000000,7.6,Short
Anna and the King,1999,148,75000000,6.6,Romance
Another You,1991,94,26000000,4.4,Comedy
Anthrax,2001,90,2500000,4.1,Drama
Antikiller,2002,114,5000000,5.4,Action
Antitrust,2001,108,30000000,6,Drama
"Antman, The",2002,94,800000,7.2,Comedy
Antwone Fisher,2002,117,12500000,7.4,Drama
Antz,1998,83,60000000,7,Comedy
Anus Magillicutty,2003,70,5000,1.8,Romance
Any Given Sunday,1999,156,62000000,6.4,Drama
Anyone,2004,8,1000,9.6,Short
Anything Else,2003,108,18000000,6.5,Romance
Anywhere But Here,1999,114,23000000,5.9,Drama
Aparte,2002,91,90000,8.5,Documentary
Apollo 13,1995,140,62000000,7.5,Drama
"Apostle, The",1997,134,5000000,7.2,Drama
"Appointment, The",1996,89,45000,5.3,Unknown
Apt Pupil,1998,112,14000000,6.4,Drama
Arachnophobia,1990,103,31000000,6.1,Comedy
Arc,2004,30,9000,9.4,Short
Are We There Yet?,2005,95,32000000,3.5,Comedy
"Argentino en New York, Un",1998,95,3000000,4.2,Drama
Arlington Road,1999,117,21500000,7.1,Drama
Armageddon,1998,153,140000000,5.7,Action
Army of Darkness,1993,96,11000000,7.4,Comedy
Around the Fire,1999,106,1200000,5.3,Unknown
Around the World in 80 Days,2004,120,110000000,5.7,Romance
Arrangement,2004,109,3200000,9.2,Romance
Art Thief Musical!,2004,20,25000,8.5,Short
Artificial Intelligence: AI,2001,146,90000000,6.8,Drama
As Good as It Gets,1997,139,50000000,7.7,Romance
Asburied,2002,8,2000,8.7,Short
Ascension,2004,85,5500,8.8,Drama
Asesino en serio,2002,84,2500000,5.8,Comedy
Ash Wednesday,2005,23,4999,8.6,Short
